name,team,position,ovr,spd,str,agi,awr,acc,jmp,cod
Alexander Kocher,FLORIDA ATLANTIC,LEDG,67,72,75,74,,78,80,67
Blake Gilbert,FLORIDA ATLANTIC,LT,67,55,89,69,,68,68,53
George Traylor,FLORIDA ATLANTIC,RG,67,60,81,74,,76,72,59
Nate Fischer,FLORIDA ATLANTIC,WILL,67,80,79,83,,86,84,75
Paul Trent,FLORIDA ATLANTIC,LT,67,55,89,70,,67,71,51
Anthony Carrie,FLORIDA INTERNATIONAL,HB,82,88,67,89,,92,84,87
Demetrius Hill,FLORIDA INTERNATIONAL,FS,82,86,72,88,,90,89,86
Kenton Simmons,FLORIDA INTERNATIONAL,REDG,82,82,79,81,,87,84,74
Jai-Ayviauynn Celestine,FLORIDA INTERNATIONAL,CB,81,90,56,91,,93,88,90
Shamir Sterlin,FLORIDA INTERNATIONAL,SS,79,86,69,86,,88,88,83
Jojo Stone,FLORIDA INTERNATIONAL,WR,78,90,59,89,,92,87,87
Wesley Miller,FLORIDA INTERNATIONAL,FS,77,85,65,86,,89,87,83
Josiah Taylor,FLORIDA INTERNATIONAL,WILL,76,83,69,82,,87,84,78
Kyle Mcneal,FLORIDA INTERNATIONAL,WR,76,89,55,87,,90,86,85
Sam Payton,FLORIDA INTERNATIONAL,P,76,60,69,48,,58,81,45
Sterling Joseph,FLORIDA INTERNATIONAL,HB,76,88,68,84,,87,87,82
Antonio Tripp Jr.,FLORIDA INTERNATIONAL,LG,75,62,86,63,,72,71,57
Jj Kohl,FLORIDA INTERNATIONAL,QB,75,69,77,63,,65,71,60
Tray-John Faulk,FLORIDA INTERNATIONAL,HB,75,88,70,86,,92,84,90
Dante Anderson,FLORIDA INTERNATIONAL,LEDG,74,76,73,75,,82,79,68
Daxton Lamont,FLORIDA INTERNATIONAL,HB,74,86,76,81,,89,80,84
Demarcus Harris-Knowles,FLORIDA INTERNATIONAL,HB,74,86,74,85,,90,80,86
Devonte Lyons,FLORIDA INTERNATIONAL,HB,74,85,66,85,,87,84,83
Maguire Anderson,FLORIDA INTERNATIONAL,WR,74,86,59,84,,89,86,80
Miguel Cedeno,FLORIDA INTERNATIONAL,RT,74,53,87,51,,63,69,45
Brian Snyder,FLORIDA INTERNATIONAL,P,73,61,68,51,,59,66,50
Deandre Boykins,FLORIDA INTERNATIONAL,SS,73,88,74,88,,91,90,88
Eric Nelson,FLORIDA INTERNATIONAL,WR,73,90,41,85,,87,88,82
Lawrence Johnson,FLORIDA INTERNATIONAL,CB,73,89,63,86,,86,89,84
Robert Czeremcha,FLORIDA INTERNATIONAL,K,73,67,58,54,,64,73,65
Spencer Webb,FLORIDA INTERNATIONAL,RT,73,62,82,56,,70,67,54
Zaire Flournoy,FLORIDA INTERNATIONAL,RG,73,55,87,53,,66,67,51
Lamar Duval,FLORIDA INTERNATIONAL,CB,72,89,51,91,,92,87,91
Anthony Cunningham,FLORIDA INTERNATIONAL,DT,71,66,80,66,,74,72,57
Da'Vontae Floyd,FLORIDA INTERNATIONAL,CB,71,91,48,87,,87,90,86
Jackson Verdugo,FLORIDA INTERNATIONAL,TE,71,74,68,73,,79,76,70
Rj Moss Jr.,FLORIDA INTERNATIONAL,DT,71,73,75,71,,82,78,66
Amari Isaac,FLORIDA INTERNATIONAL,WR,70,85,62,88,,87,83,86
Andre Brown,FLORIDA INTERNATIONAL,WR,70,88,40,85,,90,82,84
Cece Lee,FLORIDA INTERNATIONAL,WR,70,90,57,88,,91,87,89
Felix French,FLORIDA INTERNATIONAL,CB,70,89,49,90,,92,86,89
Kevin Schaeffer,FLORIDA INTERNATIONAL,TE,70,78,73,80,,84,80,72
Lamont Green Jr.,FLORIDA INTERNATIONAL,REDG,70,79,64,77,,85,86,72
Manasseh Ripert,FLORIDA INTERNATIONAL,LT,70,65,84,59,,72,71,54
Robert Williams,FLORIDA INTERNATIONAL,LEDG,70,78,69,77,,80,70,71
Tyson Carter,FLORIDA INTERNATIONAL,WR,70,87,42,89,,88,88,87
Allen Gales,FLORIDA INTERNATIONAL,SAM,69,81,64,85,,90,85,83
Anthony Smith,FLORIDA INTERNATIONAL,DT,69,51,88,52,,59,61,46
Brayshawn Littlejohn,FLORIDA INTERNATIONAL,WILL,69,81,70,76,,85,82,74
Germaine Carter,FLORIDA INTERNATIONAL,DT,69,70,79,68,,77,69,56
Oscar Coldn,FLORIDA INTERNATIONAL,LT,69,59,83,55,,67,77,50
Sean Burke,FLORIDA INTERNATIONAL,TE,69,75,63,81,,78,78,69
Zay West,FLORIDA INTERNATIONAL,CB,69,85,46,88,,89,92,86
Akeem Neal,FLORIDA INTERNATIONAL,LG,68,57,89,61,,69,66,53
Ayden Passley,FLORIDA INTERNATIONAL,TE,68,78,68,74,,76,70,72
Daveion Harley,FLORIDA INTERNATIONAL,RG,68,52,86,65,,65,63,54
Jon Rodriguez,FLORIDA INTERNATIONAL,C,68,65,82,69,,80,75,54
Rashawn Gant,FLORIDA INTERNATIONAL,LEDG,68,69,85,69,,74,73,58
Roderick Clayborn,FLORIDA INTERNATIONAL,LEDG,68,69,84,69,,74,72,59
Zach Marker,FLORIDA INTERNATIONAL,QB,68,77,62,78,,81,81,77
Cory Reeves,FLORIDA INTERNATIONAL,SS,67,85,72,84,,88,79,85
Josh Nowell,FLORIDA INTERNATIONAL,LG,67,63,79,77,,81,73,59
Kani Smith,FLORIDA INTERNATIONAL,LEDG,67,77,64,76,,81,77,69
Orlando Syph-Timmons,FLORIDA INTERNATIONAL,MIKE,67,81,68,80,,85,78,77
Tyderick Brown,FLORIDA INTERNATIONAL,CB,67,89,48,89,,91,85,91
Duce Robinson,FLORIDA STATE,WR,92,91,79,86,,89,92,82
Quintrevion Wisner,FLORIDA STATE,HB,89,90,69,92,,92,90,92
Xavier Chaplin,FLORIDA STATE,LT,87,59,96,55,,66,70,52
Daniel Lyons,FLORIDA STATE,DT,86,73,86,74,,82,76,63
Mandrell Desir,FLORIDA STATE,LEDG,84,84,87,79,,87,82,71
Micah Danzy,FLORIDA STATE,WR,84,95,63,92,,97,94,88
Ousmane Kromah,FLORIDA STATE,HB,84,89,76,91,,92,90,89
Chris Jones,FLORIDA STATE,MIKE,83,79,81,81,,83,82,80
Nate Pabst,FLORIDA STATE,RT,82,63,88,64,,74,74,56
Nehemiah Chandler,FLORIDA STATE,CB,82,90,51,85,,92,89,85
Ashlynd Barker,FLORIDA STATE,SS,81,87,73,86,,87,87,85
Deante Mccray,FLORIDA STATE,DT,81,70,81,70,,78,72,59
Kevin Wynn,FLORIDA STATE,DT,81,59,91,56,,69,72,51
Samuel Singleton Jr.,FLORIDA STATE,HB,81,91,67,89,,93,85,87
Darryll Desir,FLORIDA STATE,LEDG,80,81,84,77,,85,79,69
Desirrio Riles,FLORIDA STATE,TE,80,80,76,81,,85,84,77
Ja'Bril Rawls,FLORIDA STATE,CB,79,90,62,89,,92,91,87
Jasen Lopez,FLORIDA STATE,WR,79,91,49,90,,94,85,91
Jayvan Boggs,FLORIDA STATE,WR,79,87,72,87,,88,90,86
Paul Bowling,FLORIDA STATE,LG,79,68,86,62,,77,78,56
Gemari Sands,FLORIDA STATE,HB,78,88,67,86,,91,89,85
Mikai Gbayor,FLORIDA STATE,WILL,78,81,79,79,,85,83,75
Rylan Kennedy,FLORIDA STATE,REDG,78,80,78,84,,87,91,75
Ashton Daniels,FLORIDA STATE,QB,77,84,74,85,,86,86,83
Daniel Hughes,FLORIDA STATE,P,77,59,64,55,,61,62,57
Jamari Howard,FLORIDA STATE,CB,77,94,61,89,,94,92,88
Quindarrius Jones,FLORIDA STATE,CB,77,89,64,88,,91,88,87
Blake Nichelson,FLORIDA STATE,WILL,76,83,75,82,,89,87,77
Bradyn Joiner,FLORIDA STATE,C,76,57,90,55,,67,61,53
Brandon Garner,FLORIDA STATE,K,76,69,54,65,,67,53,67
Karson Hobbs,FLORIDA STATE,CB,76,90,63,88,,93,90,88
Landen Thomas,FLORIDA STATE,TE,76,81,70,83,,84,85,80
Ma'Khi Jones,FLORIDA STATE,CB,76,91,55,90,,91,87,89
Omar Graham Jr.,FLORIDA STATE,MIKE,76,82,75,82,,87,84,78
Shane Willow,FLORIDA STATE,QB,76,80,51,81,,86,79,82
Charles Lester Iii,FLORIDA STATE,CB,75,89,61,91,,92,83,89
Cj Richard Jr.,FLORIDA STATE,FS,75,85,69,85,,87,86,83
Devin Carter,FLORIDA STATE,WR,75,89,55,90,,92,89,88
K.J. Kirkland,FLORIDA STATE,FS,75,88,66,84,,90,87,84
Zae Thomas,FLORIDA STATE,CB,75,86,62,87,,90,89,86
Aj Cottrill,FLORIDA STATE,MIKE,74,81,79,82,,87,84,76
Carter Jula,FLORIDA STATE,P,74,63,25,60,,65,56,43
Cody Bellingham,FLORIDA STATE,P,74,69,58,64,,71,71,65
Deamontae Diggs,FLORIDA STATE,LEDG,74,76,79,75,,81,77,66
Gabe Panirowski,FLORIDA STATE,K,74,67,54,64,,64,74,61
Jonathan Daniels,FLORIDA STATE,LT,74,69,84,69,,79,80,51
Kevin Sperry,FLORIDA STATE,QB,74,83,63,83,,86,82,82
Tae'Shaun Gelsey,FLORIDA STATE,WR,74,84,77,83,,88,91,79
Andre Otto,FLORIDA STATE,RG,73,63,88,59,,71,64,55
Chase Loftin,FLORIDA STATE,TE,73,80,69,83,,83,86,77
James Sims-Davidson,FLORIDA STATE,WR,73,88,75,83,,87,83,80
Jordan Sanders,FLORIDA STATE,DT,73,72,82,63,,75,72,50
Tre Bell Iii,FLORIDA STATE,SS,73,89,65,89,,91,92,86
Chavez Thompson,FLORIDA STATE,C,72,59,84,58,,71,67,55
Dustin Michaels,FLORIDA STATE,SS,72,89,68,86,,92,87,87
Jaemin Pinckney,FLORIDA STATE,REDG,72,85,65,83,,88,87,81
Jake Stanton,FLORIDA STATE,REDG,72,77,80,76,,85,84,67
Jalen Anderson,FLORIDA STATE,REDG,72,81,75,81,,85,79,73
Jayden Todd,FLORIDA STATE,RG,72,57,88,52,,64,62,49
Tanner Applewhite,FLORIDA STATE,QB,72,75,61,76,,82,73,74
Teriq Mallory,FLORIDA STATE,WR,72,87,66,84,,87,90,81
Chimdia Nwaiwu,FLORIDA STATE,RT,71,70,84,76,,78,78,57
Franklin Whitley,FLORIDA STATE,DT,71,79,73,83,,85,87,75
J.J. Dodge,FLORIDA STATE,LEDG,71,71,83,73,,79,75,62
Nick Malone,FLORIDA STATE,LG,71,52,92,65,,63,61,56
Whitley Cadeau,FLORIDA STATE,DT,71,64,82,62,,73,62,57
Donny Hiebert,FLORIDA STATE,FS,70,87,62,85,,89,83,81
Jelani Washington,FLORIDA STATE,QB,70,73,62,73,,78,70,70
Ricky Knight Iii,FLORIDA STATE,CB,70,88,61,84,,89,85,84
Sean Poret,FLORIDA STATE,LG,70,69,77,67,,75,73,59
Antonio Cromartie Jr.,FLORIDA STATE,CB,69,90,45,88,,92,87,87
Izayia Williams,FLORIDA STATE,SAM,69,92,62,84,,93,91,78
Chris Thomas,FLORIDA STATE,MIKE,68,84,68,82,,87,85,79
Jarvis Boatwright Jr.,FLORIDA STATE,FS,68,90,51,91,,92,90,92
Max Redmon,FLORIDA STATE,SS,68,88,60,85,,92,86,83
Robert Lockett,FLORIDA STATE,WILL,68,85,64,89,,93,86,85
Caleb Lavallee,FLORIDA STATE,WILL,67,82,69,83,,88,85,77
Kevin Bellamy,FLORIDA STATE,LG,67,62,83,72,,76,73,60
Korey Lyons,FLORIDA STATE,RG,67,54,90,65,,66,64,62
Simeon Harris,FRESNO STATE,CB,89,90,57,92,,93,88,91
Bryson Donelson,FRESNO STATE,HB,84,89,68,86,,92,87,86
Rayshon Luke,FRESNO STATE,HB,84,96,55,92,,95,92,90
Jahzon Jacks,FRESNO STATE,LEDG,83,79,83,81,,85,77,73
Josiah Freeman,FRESNO STATE,WR,82,87,67,87,,90,88,85
Brayden Walton,FRESNO STATE,LT,80,60,90,59,,73,68,52
Deijon Laffitte,FRESNO STATE,DT,80,65,85,63,,74,71,57
Rolan Fullwood,FRESNO STATE,RT,80,59,89,52,,73,74,48
Merhauti Xepera,FRESNO STATE,LEDG,78,75,84,73,,81,80,68
Ezekiel Avit,FRESNO STATE,WR,77,89,63,87,,87,90,84
Jahll Mcclain,FRESNO STATE,WR,77,91,55,91,,93,88,88
Manaki Watanabe,FRESNO STATE,K,77,56,47,57,,56,56,54
Martin Owusu,FRESNO STATE,DT,77,62,83,55,,71,71,49
Sione Noa,FRESNO STATE,REDG,77,81,75,79,,85,75,73
Taylor Jacobsen,FRESNO STATE,P,77,73,52,73,,74,58,71
Brandon Ramirez,FRESNO STATE,HB,76,86,79,81,,89,82,79
Croix Stewart,FRESNO STATE,FS,76,95,74,88,,94,89,89
Ethan Tierney,FRESNO STATE,FS,76,86,62,85,,88,83,83
Jordan Malau'Ulu,FRESNO STATE,WR,76,87,53,89,,89,86,86
Dylan Hampsten,FRESNO STATE,REDG,75,79,71,78,,83,85,74
Edward Fonua,FRESNO STATE,LG,75,59,87,57,,71,65,51
Harold Duvall,FRESNO STATE,WR,75,90,60,88,,92,90,87
Jomarion Briggs,FRESNO STATE,CB,75,89,53,90,,92,89,88
K'Vidon Thunderbird,FRESNO STATE,MIKE,75,81,73,84,,87,86,81
Jaiurs Satele,FRESNO STATE,DT,74,60,82,61,,74,72,51
Jayon Farrar,FRESNO STATE,WR,73,89,49,86,,91,85,86
Kidontre Harris,FRESNO STATE,CB,73,92,43,89,,92,90,88
Ryan Wilson,FRESNO STATE,SS,73,88,64,85,,87,90,83
Taylor Powell,FRESNO STATE,CB,73,85,65,84,,88,87,82
Auckland Asiata,FRESNO STATE,DT,72,74,73,75,,82,76,69
Brock Lium,FRESNO STATE,TE,72,81,69,79,,83,84,75
Gino Quinones,FRESNO STATE,LG,72,60,85,64,,70,73,52
Jake Appleget,FRESNO STATE,TE,72,75,74,75,,84,82,70
Tariq Thomas,FRESNO STATE,HB,72,86,70,85,,88,83,85
Dalvin Williamson,FRESNO STATE,RG,71,57,87,69,,68,68,56
Khristian Martin,FRESNO STATE,QB,71,75,75,76,,77,78,74
Patrick Barnett,FRESNO STATE,RG,71,58,85,58,,69,68,53
Rj Regan,FRESNO STATE,SS,71,87,62,86,,91,88,84
Sammie Hunter,FRESNO STATE,CB,71,86,56,88,,88,87,85
Braylan Henderson,FRESNO STATE,C,70,65,83,70,,72,65,60
Gage Bloom,FRESNO STATE,K,70,71,47,66,,71,54,67
Kyson Van Vugt,FRESNO STATE,RT,70,71,80,78,,82,78,52
Mordecai Hines,FRESNO STATE,DT,70,73,79,73,,79,77,64
Tytus Khajavi,FRESNO STATE,MIKE,70,82,72,78,,85,81,74
Xavier Owens,FRESNO STATE,WR,70,87,62,85,,89,82,84
Jayden Mandal,FRESNO STATE,QB,69,77,67,79,,82,82,78
Nick Verdugo,FRESNO STATE,P,69,46,43,46,,51,59,44
Ben Baker,FRESNO STATE,C,68,64,78,64,,73,72,56
David Stands,FRESNO STATE,K,68,71,44,70,,73,59,72
Jaylen Garrison,FRESNO STATE,WR,68,87,68,85,,89,86,83
Oscar Weigel,FRESNO STATE,LT,68,60,82,58,,70,65,50
Preston Okafor,FRESNO STATE,CB,68,85,66,83,,87,83,81
Andre Cobb,FRESNO STATE,CB,67,86,58,85,,87,81,83
Darrin Watkins,FRESNO STATE,REDG,67,75,73,74,,86,81,71
Jonathan Craft,FRESNO STATE,QB,67,78,61,82,,82,79,80
Logan Studt,FRESNO STATE,WILL,67,80,65,79,,86,82,76
Maxwell Young,FRESNO STATE,WR,67,87,52,84,,89,72,84
Kj Bolden,GEORGIA,FS,95,93,63,92,,95,93,91
Earnest Greene Iii,GEORGIA,LT,92,68,95,71,,79,72,60
Ellis Robinson Iv,GEORGIA,CB,90,91,59,97,,94,93,96
Nate Frazier,GEORGIA,HB,90,93,77,93,,96,90,93
Drew Bobo,GEORGIA,C,89,72,88,73,,80,73,61
Gunner Stockton,GEORGIA,QB,89,83,69,84,,86,79,84
Raylen Wilson,GEORGIA,MIKE,89,89,79,88,,94,90,82
Chris Cole,GEORGIA,WILL,88,88,77,90,,92,91,86
Elijah Grifin,GEORGIA,DT,87,73,89,74,,84,81,67
Ja'Marley Riddle,GEORGIA,SS,87,89,65,87,,91,90,85
Khalil Barnes,GEORGIA,SS,87,90,68,91,,91,90,89
Peyton Woodring,GEORGIA,K,86,71,48,74,,73,52,75
Chauncey Bowens,GEORGIA,HB,85,87,82,85,,89,89,84
Isiah Canyon,GEORGIA,WR,85,89,77,86,,89,92,83
Justin Williams,GEORGIA,MIKE,85,90,72,87,,94,92,85
Xzavier Mcleod,GEORGIA,DT,84,69,91,67,,76,70,50
Dante Dowdell,GEORGIA,HB,83,88,81,83,,90,84,80
Dontrell Glover,GEORGIA,LG,83,63,89,61,,74,67,55
Gabe Harris Jr.,GEORGIA,LEDG,83,81,83,78,,87,82,72
Jordan Hall,GEORGIA,DT,83,73,89,73,,82,76,56
London Humphreys,GEORGIA,WR,83,94,65,89,,93,92,87
Dwight Phillips Jr.,GEORGIA,HB,82,95,59,91,,97,89,91
Ian Rogers,GEORGIA,P,82,69,59,64,,73,63,63
Juan Gaston,GEORGIA,RT,82,61,96,55,,68,68,50
Nnamdi Ogboko,GEORGIA,DT,82,64,92,57,,71,73,48
Quintavius Johnson,GEORGIA,REDG,82,89,73,85,,90,85,77
Andrew Temple,GEORGIA,HB,81,90,74,88,,94,87,90
Kyle Meeks,GEORGIA,K,81,71,50,65,,73,75,66
Lawson Luckie,GEORGIA,TE,81,83,74,83,,89,87,77
Rio Mcdonald,GEORGIA,LEDG,81,72,84,74,,80,75,59
Amaris Williams,GEORGIA,REDG,80,82,81,81,,87,82,76
Ekene Ogboko,GEORGIA,LT,80,75,85,76,,83,79,69
Gentry Williams,GEORGIA,CB,80,97,57,93,,95,94,92
Joseph Jonah-Ajonye,GEORGIA,LEDG,80,75,85,75,,85,82,63
Josh Horton,GEORGIA,DT,80,67,89,65,,77,75,54
Kaiden Prothro,GEORGIA,TE,80,88,77,87,,90,93,85
Sacovie White-Helton,GEORGIA,WR,80,92,59,93,,94,91,92
Zion Branch,GEORGIA,FS,80,90,75,85,,92,93,85
Craig Dandridge,GEORGIA,WR,79,91,56,90,,92,87,89
Demello Jones,GEORGIA,CB,79,90,59,92,,94,91,89
Isaiah Gibson,GEORGIA,REDG,79,84,79,82,,88,85,70
London Roldan,GEORGIA,WR,79,91,54,92,,94,85,89
Mekhi Caldwell,GEORGIA,CB,79,90,72,89,,93,91,87
Sidney Arrington,GEORGIA,HB,79,90,75,86,,94,85,90
Talyn Taylor,GEORGIA,WR,79,91,62,92,,91,93,90
Cade Snider,GEORGIA,P,78,72,49,72,,74,75,70
Cj Wiley,GEORGIA,WR,78,89,72,88,,89,91,86
Lincoln Keyes,GEORGIA,TE,78,80,71,84,,85,85,82
Ronald Younger,GEORGIA,LEDG,78,71,84,74,,79,77,62
Zayden Walker,GEORGIA,WILL,78,88,70,85,,93,90,82
Zykie Helton,GEORGIA,RG,78,65,86,71,,76,75,65
Anderson Cloud,GEORGIA,K,77,72,47,72,,76,61,71
Daniel Calhoun,GEORGIA,LG,77,57,94,60,,67,56,55
Elyiss Williams,GEORGIA,TE,77,80,77,78,,84,85,72
Ryan Puglisi,GEORGIA,QB,77,78,67,79,,82,75,78
Cortez Smith,GEORGIA,C,76,64,89,63,,73,72,57
Franklin Roundtree,GEORGIA,C,76,58,85,71,,73,71,59
Garrison Hixon,GEORGIA,WR,76,90,74,88,,91,88,88
Jahzare Jackson,GEORGIA,RT,76,68,88,67,,73,73,58
Jamario Yates,GEORGIA,LEDG,76,69,92,69,,73,70,52
Jordan Smith,GEORGIA,SS,76,93,58,89,,95,92,88
Titus Lincoln,GEORGIA,RT,76,57,91,67,,69,71,51
Trevor Holton,GEORGIA,SS,76,90,66,89,,92,88,87
Zech Fort,GEORGIA,FS,76,86,72,91,,89,89,87
Kyron Jones,GEORGIA,FS,75,87,64,88,,88,89,89
Malachi Toliver,GEORGIA,C,75,59,82,74,,77,74,54
Darren Ikinnagbon,GEORGIA,SAM,74,83,82,79,,90,84,73
Jaden Reddell,GEORGIA,TE,74,85,68,86,,90,89,81
Justin Greene,GEORGIA,REDG,74,78,87,77,,79,80,71
Marcus Harrison,GEORGIA,RG,74,59,88,61,,69,66,59
Mark Maynor,GEORGIA,RG,74,61,84,74,,76,73,50
Michael Uini,GEORGIA,RG,74,59,91,63,,69,70,55
Rasean Dinkins,GEORGIA,SS,74,90,50,87,,90,95,85
Jontae Gilbert,GEORGIA,CB,73,86,57,88,,89,87,86
Drew Miller,GEORGIA,P,72,59,52,55,,59,55,55
Dre Hooks,GEORGIA,SS,71,88,73,84,,90,84,84
Bryson Beaver,GEORGIA,QB,70,83,64,83,,85,85,84
Nick Abrams Ii,GEORGIA,MIKE,70,85,72,82,,85,84,79
Ryan Montgomery,GEORGIA,QB,70,80,68,82,,84,83,79
Clint Bentley,GEORGIA,C,69,54,91,64,,64,66,64
Terrell Foster,GEORGIA,WILL,69,81,75,74,,82,76,72
Aj Kruah,GEORGIA,MIKE,68,83,66,79,,87,84,75
Braylon Conley,GEORGIA,CB,68,90,49,89,,93,91,86
Brian Rayford,GEORGIA,LT,68,60,86,71,,73,71,59
Latrell Bullard,GEORGIA SOUTHERN,DT,84,51,95,49,,61,59,40
Josh Dallas,GEORGIA SOUTHERN,WR,83,89,70,88,,91,90,86
River Helms,GEORGIA SOUTHERN,TE,82,83,72,81,,86,82,75
Anthony Bynum,GEORGIA SOUTHERN,LEDG,79,77,79,73,,84,75,67
Chance Gamble,GEORGIA SOUTHERN,CB,79,89,54,88,,91,87,87
Alex Smith,GEORGIA SOUTHERN,P,78,66,52,52,,64,68,49
Ashton Hollins,GEORGIA SOUTHERN,WR,77,87,63,85,,86,82,81
Aaron Sears,GEORGIA SOUTHERN,SS,76,89,55,87,,91,85,84
David Mbadinga,GEORGIA SOUTHERN,HB,76,89,65,84,,92,83,82
Max Johnson,GEORGIA SOUTHERN,QB,76,67,77,66,,68,61,65
Mj Stroud,GEORGIA SOUTHERN,REDG,76,79,76,78,,85,81,72
Taylor Bradshaw,GEORGIA SOUTHERN,WR,76,87,57,88,,89,87,86
Alex Taylor,GEORGIA SOUTHERN,WR,75,89,61,87,,91,88,84
Jaquari Brown,GEORGIA SOUTHERN,CB,75,89,50,89,,92,91,87
Kam Mikell,GEORGIA SOUTHERN,WR,75,95,62,93,,94,89,88
Matthew Williams,GEORGIA SOUTHERN,LG,75,60,88,56,,66,68,44
O'Marion Brown,GEORGIA SOUTHERN,DT,75,70,85,67,,75,73,63
Rashon Myles Jr.,GEORGIA SOUTHERN,WILL,75,80,74,82,,85,89,80
Tripp Bryant,GEORGIA SOUTHERN,K,75,70,58,69,,65,70,54
Akeondre Chaney,GEORGIA SOUTHERN,CB,74,87,51,86,,90,88,84
Caelan Williams,GEORGIA SOUTHERN,LT,74,65,85,64,,73,72,54
Jamarian Samuel,GEORGIA SOUTHERN,HB,74,87,77,83,,89,80,71
Terrance Gibbs,GEORGIA SOUTHERN,HB,74,85,71,82,,88,86,81
Tracy Hill Jr.,GEORGIA SOUTHERN,SS,74,87,62,84,,89,86,84
Andre Greene Jr.,GEORGIA SOUTHERN,WR,73,90,71,88,,90,88,84
Antavious Murphy,GEORGIA SOUTHERN,WR,73,88,64,87,,90,85,87
Brandon Tyson,GEORGIA SOUTHERN,MIKE,73,80,73,78,,84,81,77
Chase Calicut,GEORGIA SOUTHERN,SS,73,89,67,88,,92,88,84
Blake Ford,GEORGIA SOUTHERN,K,72,65,62,60,,62,70,62
Colin Alexander,GEORGIA SOUTHERN,RT,72,65,85,59,,71,73,51
Jakyri Jones,GEORGIA SOUTHERN,FS,72,87,70,85,,89,83,82
Jp Mikhael,GEORGIA SOUTHERN,TE,72,77,76,76,,81,73,73
Mo Clipper Jr.,GEORGIA SOUTHERN,LG,72,57,86,55,,67,68,53
Peyton Plott,GEORGIA SOUTHERN,WR,72,91,39,91,,93,85,89
Eli Anders,GEORGIA SOUTHERN,REDG,71,75,77,72,,81,78,68
Festus Davies,GEORGIA SOUTHERN,LEDG,71,76,70,74,,84,85,74
Jackson Long,GEORGIA SOUTHERN,TE,71,78,70,81,,87,86,79
Taeo Todd,GEORGIA SOUTHERN,HB,71,87,65,85,,91,84,85
Tyrese Woodgett,GEORGIA SOUTHERN,HB,71,90,55,88,,91,84,87
Caleb Moore,GEORGIA SOUTHERN,DT,70,75,82,77,,80,74,63
Diego Aviles,GEORGIA SOUTHERN,MIKE,70,80,75,77,,84,79,77
Donte Gamble,GEORGIA SOUTHERN,HB,70,88,69,85,,92,83,87
Greg Delaine Jr.,GEORGIA SOUTHERN,FS,70,88,57,86,,90,86,84
J.J. Bradley,GEORGIA SOUTHERN,HB,70,89,64,88,,94,85,88
Jayden Jackson,GEORGIA SOUTHERN,CB,70,88,59,85,,89,87,85
Jeremiah Ticket,GEORGIA SOUTHERN,DT,70,68,72,71,,76,70,65
Jeremiah Ware,GEORGIA SOUTHERN,WR,70,88,63,87,,91,84,86
Kebba Secka,GEORGIA SOUTHERN,LEDG,70,73,76,74,,78,74,65
King Phillips,GEORGIA SOUTHERN,WR,70,88,51,88,,90,85,83
Noah Mangham,GEORGIA SOUTHERN,CB,70,87,53,85,,89,86,82
Ty Furnish,GEORGIA SOUTHERN,C,70,64,81,77,,83,77,53
Weston Bryan,GEORGIA SOUTHERN,QB,70,77,72,77,,80,72,75
Brandon Stoner,GEORGIA SOUTHERN,RG,69,59,84,55,,66,55,45
Carlo Thompson,GEORGIA SOUTHERN,CB,69,82,60,81,,86,82,79
Turner Helton,GEORGIA SOUTHERN,QB,69,81,55,80,,84,75,79
Uche Ildh,GEORGIA SOUTHERN,LEDG,69,68,80,65,,82,77,53
Elijah Fears,GEORGIA SOUTHERN,DT,68,62,79,68,,70,54,52
Emmett Walker,GEORGIA SOUTHERN,MIKE,68,80,67,81,,88,84,78
Jaylen Slaughter,GEORGIA SOUTHERN,LT,68,65,81,62,,70,72,55
Jayvon Perry,GEORGIA SOUTHERN,LG,68,68,83,64,,72,73,51
Josh Raymond,GEORGIA SOUTHERN,RT,68,71,82,67,,75,69,55
Korey Jordan,GEORGIA SOUTHERN,DT,68,65,79,56,,68,62,54
Blake Weiss,GEORGIA SOUTHERN,K,67,69,46,71,,65,66,73
Ethan Williams,GEORGIA SOUTHERN,RG,67,64,77,69,,73,73,55
Xavier Brown,GEORGIA SOUTHERN,MIKE,67,83,75,77,,81,84,72
Deuce Walker,GEORGIA STATE,CB,80,89,62,88,,92,86,87
Grant Hollier,GEORGIA STATE,TE,79,81,71,80,,84,82,78
Xavier Butler,GEORGIA STATE,HB,79,93,48,90,,92,84,89
Cameran Brown,GEORGIA STATE,QB,78,83,76,85,,86,86,84
Derrick Avery Jr.,GEORGIA STATE,WR,76,90,58,89,,92,91,88
Donovan Funsch,GEORGIA STATE,LG,76,64,83,59,,73,65,54
Jabriel Rhodes-Nelson,GEORGIA STATE,REDG,76,76,79,76,,81,75,69
Dennis Murray Jr.,GEORGIA STATE,HB,75,91,52,88,,92,85,86
Jaylen Poe,GEORGIA STATE,HB,75,85,77,80,,87,78,77
Keenan Nelson Jr.,GEORGIA STATE,SS,75,89,64,86,,91,88,84
Kyle Washington,GEORGIA STATE,WR,75,91,43,89,,93,83,88
Lanear Mccrary Jr.,GEORGIA STATE,HB,75,87,74,85,,89,82,85
Savidon Hart,GEORGIA STATE,HB,75,87,62,86,,89,90,85
Ladainnian Martin,GEORGIA STATE,HB,74,88,62,87,,90,83,85
Alex Mullings,GEORGIA STATE,DT,73,64,80,64,,72,68,58
Ayden Pereira,GEORGIA STATE,QB,73,82,64,84,,85,84,83
